Open,High,Low,Close,Volume,Datetime
68736.43,68900.0,68697.63,68897.77,78.90953763,2026-02-14 06:00:00+00:00
68897.77,69308.0,68848.2,69179.9,117.58996882,2026-02-14 07:00:00+00:00
69179.9,69834.72,69171.12,69705.72,259.94934449,2026-02-14 08:00:00+00:00
69707.55,69864.9,69535.45,69676.21,137.68789008,2026-02-14 09:00:00+00:00
69676.2,69676.2,69543.72,69630.51,94.45770421,2026-02-14 10:00:00+00:00
69630.51,70531.53,69630.51,70469.17,355.43367527,2026-02-14 11:00:00+00:00
70469.17,70499.99,69579.0,69600.24,589.77452337,2026-02-14 12:00:00+00:00
69609.49,69745.48,69190.96,69445.41,818.09486296,2026-02-14 13:00:00+00:00
69445.4,69841.8,69308.74,69687.34,266.79129937,2026-02-14 14:00:00+00:00
69687.34,70029.72,69542.01,69767.28,296.02745131,2026-02-14 15:00:00+00:00
69767.29,69800.0,69263.02,69724.0,248.88554728,2026-02-14 16:00:00+00:00
69723.78,69895.6,69577.86,69713.33,224.59971831,2026-02-14 17:00:00+00:00
69713.33,69841.5,69638.95,69741.5,182.24352678,2026-02-14 18:00:00+00:00
69742.44,69882.0,69572.96,69845.55,186.34722408,2026-02-14 19:00:00+00:00
69845.21,70000.0,69704.72,69982.01,181.55205716,2026-02-14 20:00:00+00:00
69982.01,70218.54,69636.01,69897.68,309.37094319,2026-02-14 21:00:00+00:00
69897.73,70053.91,69726.17,69923.78,240.61275549,2026-02-14 22:00:00+00:00
69923.77,69984.04,69681.97,69786.96,153.91551084,2026-02-14 23:00:00+00:00
69786.96,69827.78,69556.34,69741.18,145.44554346,2026-02-15 00:00:00+00:00
69730.72,69862.5,69311.88,69672.06,177.04971578,2026-02-15 01:00:00+00:00
69672.06,69719.99,69310.0,69445.92,111.6310445,2026-02-15 02:00:00+00:00
69445.92,69980.61,69212.82,69925.01,242.16407799,2026-02-15 03:00:00+00:00
69925.01,70490.0,69834.53,70162.52,346.336287,2026-02-15 04:00:00+00:00
70162.52,70454.01,70100.0,70237.99,156.58260388,2026-02-15 05:00:00+00:00
70237.98,70510.0,70155.0,70373.96,149.88627728,2026-02-15 06:00:00+00:00
70373.96,70897.57,70275.41,70790.31,246.1462042,2026-02-15 07:00:00+00:00
70793.99,70941.65,70144.47,70410.28,223.26545914,2026-02-15 08:00:00+00:00
70410.29,70636.67,70338.62,70387.45,121.54856208,2026-02-15 09:00:00+00:00
70387.45,70490.7,70181.76,70392.94,109.45287714,2026-02-15 10:00:00+00:00
70396.99,70518.0,70235.1,70262.7,87.55793355,2026-02-15 11:00:00+00:00
70262.7,70377.99,69258.99,69266.35,258.10136855,2026-02-15 12:00:00+00:00
69282.35,69591.5,68750.0,68896.47,414.64800473,2026-02-15 13:00:00+00:00
68902.0,69182.24,68800.0,69138.0,422.71000698,2026-02-15 14:00:00+00:00
69137.99,69222.0,68843.55,69067.09,198.30560741,2026-02-15 15:00:00+00:00
69067.08,69068.0,68752.98,68984.42,250.53457686,2026-02-15 16:00:00+00:00
68983.71,69057.95,68156.14,68597.99,434.03575328,2026-02-15 17:00:00+00:00
68599.8,68744.99,68308.77,68414.06,424.77388579,2026-02-15 18:00:00+00:00
68414.06,68515.09,68020.0,68244.49,393.30642494,2026-02-15 19:00:00+00:00
68244.48,68521.99,68082.1,68406.83,259.93566331,2026-02-15 20:00:00+00:00
68406.91,68918.0,68406.91,68804.01,323.24800133,2026-02-15 21:00:00+00:00
68804.01,69043.41,68752.99,68954.99,154.76210331,2026-02-15 22:00:00+00:00
