freq,task,horizon,fold,model,n_samples,return_mae,return_rmse,price_mae,price_rmse,direction_acc,vocab_size,baseline_price_mae,baseline_price_rmse,price_mae_vs_baseline,price_rmse_vs_baseline
15m,regression,12,3,zero_return,661,0.004078676828353482,0.005892671223584318,372.5353101361573,539.2480925001523,0.0,,372.5353101361573,539.2480925001523,1.0,1.0
1h,regression,1,1,last_return,336,0.003678283913759123,0.005638440594947219,338.53926352958234,516.258551637688,0.5,,237.98675595238117,376.33853294614875,1.4225130393277883,1.3717929641596407
1h,regression,1,1,numeric_relative,336,0.002587166496532588,0.004098212923441673,236.89716251918276,375.382548430369,0.5,,237.98675595238117,376.33853294614875,0.9954216215568885,0.9974597750905392
1h,regression,1,1,seasonal_return,336,0.0036987454521603073,0.005562285230188563,340.3690715102965,511.4307455416287,0.5327380952380952,,237.98675595238117,376.33853294614875,1.4302017360092132,1.3589646043893429
1h,regression,1,1,symbolic_no_volume,336,0.002607950167597681,0.004097530540703945,242.33050993419852,375.7777775868756,0.5119047619047619,31.0,237.98675595238117,376.33853294614875,1.0182520828288717,0.9985099709166549
1h,regression,1,1,zero_return,336,0.002589233459997144,0.004109726370092848,237.98675595238117,376.33853294614875,0.0,,237.98675595238117,376.33853294614875,1.0,1.0
1h,regression,1,2,last_return,336,0.007994231442734225,0.01125106337389566,604.067852205584,826.5669012452511,0.4732142857142857,,422.04505952380947,584.7560144054382,1.4312875807316632,1.4135244116910515
1h,regression,1,2,numeric_relative,336,0.005570534720418875,0.00794767078386668,420.3309181140716,584.1368124570694,0.5238095238095238,,422.04505952380947,584.7560144054382,0.9959384872040158,0.9989410934935001
1h,regression,1,2,seasonal_return,336,0.007812869436520677,0.010852513571283338,589.5170459178794,799.9311753340753,0.49404761904761907,,422.04505952380947,584.7560144054382,1.3968106784214638,1.367974258712705
1h,regression,1,2,symbolic_no_volume,336,0.00555828068364246,0.007927757084928846,420.77433112734843,584.5197381725935,0.5625,31.0,422.04505952380947,584.7560144054382,0.9969891167594882,0.999595940482827
1h,regression,1,2,zero_return,336,0.005590276862381217,0.007934293864363824,422.04505952380947,584.7560144054382,0.0,,422.04505952380947,584.7560144054382,1.0,1.0
1h,regression,1,3,last_return,336,0.005546242428248849,0.007527001721873534,377.3783222227961,512.3049651804464,0.48214285714285715,,260.0029761904766,369.5676929156871,1.451438471020928,1.3862276789906613
1h,regression,1,3,numeric_relative,336,0.0038318145156427557,0.005435100644759415,261.32688742501455,368.4800495132793,0.5059523809523809,,260.0029761904766,369.5676929156871,1.0050919080001917,0.9970569846248549
1h,regression,1,3,seasonal_return,336,0.005394665612026109,0.007555579756938096,367.2538758830614,513.1200121035855,0.4880952380952381,,260.0029761904766,369.5676929156871,1.4124987385298753,1.3884330853039375
1h,regression,1,3,symbolic_no_volume,336,0.003858347722461609,0.005452246642782148,263.16333876836916,370.09031710475887,0.47023809523809523,31.0,260.0029761904766,369.5676929156871,1.012155101546135,1.0014141500977767
1h,regression,1,3,zero_return,336,0.0038197329455863884,0.005448068037941797,260.0029761904766,369.5676929156871,0.0,,260.0029761904766,369.5676929156871,1.0,1.0
1h,regression,12,1,last_return,325,0.03283090112690896,0.05139386708645112,3026.1105316229123,4690.424246126979,0.46153846153846156,,836.1255076923077,1142.8267733226571,3.6192060926055545,4.104230278478713
1h,regression,12,1,numeric_relative,325,0.009179440426410663,0.012800485071654242,846.7111216045672,1183.8977020398106,0.5107692307692308,,836.1255076923077,1142.8267733226571,1.0126603169199748,1.0359380176207666
1h,regression,12,1,seasonal_return,325,0.01208703867820717,0.015419448755934088,1114.990228693973,1425.3384943665392,0.5230769230769231,,836.1255076923077,1142.8267733226571,1.333520169443613,1.2472043249586346
1h,regression,12,1,symbolic_fine_body,325,0.009068410869056989,0.012384393171157734,836.2542455679089,1144.6367318808298,0.5384615384615384,182.0,836.1255076923077,1142.8267733226571,1.0001539695588961,1.0015837558240872
1h,regression,12,1,zero_return,325,0.009067898317680893,0.012365818616226881,836.1255076923077,1142.8267733226571,0.0,,836.1255076923077,1142.8267733226571,1.0,1.0
1h,regression,12,2,last_return,325,0.07085044902799986,0.09870204961800529,5332.823309764879,7203.905003429401,0.5046153846153846,,1750.9098153846153,2332.184849078979,3.045744139936436,3.0889082425324697
1h,regression,12,2,numeric_relative,325,0.023156040511333454,0.03157713124671257,1742.7695465895438,2310.9542518937487,0.5353846153846153,,1750.9098153846153,2332.184849078979,0.9953508349067748,0.9908966919180465
1h,regression,12,2,seasonal_return,325,0.0347328960183886,0.04728614541085016,2600.847529354113,3403.4457495223933,0.39076923076923076,,1750.9098153846153,2332.184849078979,1.485426323218592,1.459337904054421
1h,regression,12,2,symbolic_fine_body,325,0.02308193511218106,0.03167261822184371,1738.6390831280048,2323.9864125211616,0.5169230769230769,185.0,1750.9098153846153,2332.184849078979,0.9929917965227039,0.9964846540525915
1h,regression,12,2,zero_return,325,0.02323322412228334,0.03177583169089782,1750.9098153846153,2332.184849078979,0.0,,1750.9098153846153,2332.184849078979,1.0,1.0
1h,regression,12,3,last_return,325,0.04740137984125464,0.0644616692101074,3215.24238171255,4343.465326230548,0.46153846153846156,,773.3012615384615,997.7712362896999,4.157813444291962,4.35316750799723
1h,regression,12,3,numeric_relative,325,0.01092068082350291,0.01413489887565339,742.7250904296875,960.6722343280885,0.6,,773.3012615384615,997.7712362896999,0.9604602079040404,0.9628181284323576
1h,regression,12,3,seasonal_return,325,0.01575973119349432,0.020658417909667673,1072.170478260138,1403.4638387614364,0.5169230769230769,,773.3012615384615,997.7712362896999,1.3864848430831271,1.4065988151556064
1h,regression,12,3,symbolic_fine_body,325,0.011279528233512316,0.014519394852515126,767.4213269531245,985.9888738937204,0.5230769230769231,188.0,773.3012615384615,997.7712362896999,0.9923963209711582,0.9881913188439935
1h,regression,12,3,zero_return,325,0.011366831990931749,0.014678505971202242,773.3012615384615,997.7712362896999,0.0,,773.3012615384615,997.7712362896999,1.0,1.0
